,year,tournament,round,match_time,player1,player2,player1_set1,player2_set1,player1_set2,player2_set2,player1_set3,player2_set3
177,2015,SCG Badminton Asia Junior Championships 2015,,0:35,LOH Kean Yew,Satheishtharan RAMACHANDRAN,19,21,12,21,,
178,2015,SCG Badminton Asia Junior Championships 2015,,0:39,Seung Hoon LEE,LOH Kean Yew,17,21,17,21,,
179,2015,VIVO BWF Sudirman Cup 2015,,0:32,LOH Kean Yew,Andrew D'SOUZA,21,12,21,19,,
180,2015,USM Li Ning International Series 2015,R64,0:40,Erick ERIAWAN,LOH Kean Yew,12,21,17,21,,
181,2015,USM Li Ning International Series 2015,R32,1:00,Enzi SHAFIRA,LOH Kean Yew,22,20,19,21,14,21
182,2015,USM Li Ning International Series 2015,R16,0:43,Ivanudin RIFAN FAUZIN,LOH Kean Yew,19,21,21,16,21,10
183,2015,OUE Singapore Open,Qual. R16,0:39,Philip Joper ESCUETA,LOH Kean Yew,20,22,21,11,21,13
184,2015,Ciputra Hanoi - Yonex Sunrise Vietnam International Challenge 2015,R64,1:00,Riyanto SUBAGJA,LOH Kean Yew,21,23,22,20,21,15
185,2015,Yonex Sunrise Malaysia Masters,R64,0:50,LOH Kean Yew,SOO Teck Zhi,18,21,21,18,16,21
186,2015,Granular -  Thailand International Challenge 2015,R64,0:50,LOH Kean Yew,Kunlavut VITIDSARN,21,12,19,21,21,18
187,2015,Granular -  Thailand International Challenge 2015,R32,0:46,LOH Kean Yew,Kantawat LEELAVECHABUTR,15,21,21,8,21,17
188,2015,Granular -  Thailand International Challenge 2015,R16,0:27,LEE Hyun Il,LOH Kean Yew,21,16,21,11,,
189,2014,Maybank Malaysia Kuching International Challenge 2014,R64,0:46,LOH Kean Yew,Chun Seang TAN,17,21,21,18,16,21
190,2014,Yonex-Sunrise Indonesian Masters 2014,R64,0:53,Anthony Sinisuka GINTING,LOH Kean Yew,21,17,18,21,18,21
